,CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO
289,1997,6,85322410,11,399,SP,4,817700,30000,15,1394,105,8
1338,1997,12,85322410,11,161,AM,4,227600,9269100,503,69529,2760,94
3243,1997,8,85322410,11,249,MG,4,617600,1001140,200,14460,690,59
3447,1997,11,85322410,11,573,SP,4,817600,1000,0,46,0,0
4824,1997,9,85322410,11,399,SP,4,817700,41020,19,1228,71,5
6021,1997,12,85322410,11,267,SP,4,817600,150,2,82,13,0
7362,1997,7,85322410,11,399,SP,4,817600,14878740,276,159385,9571,432
7936,1997,5,85322410,11,741,SP,4,817700,424000,288,3568,1761,14
8780,1997,4,85322410,11,399,SP,4,817600,8487181,879,204865,15639,487
9197,1997,12,85322410,11,249,MG,4,817700,4000,6,7350,142,9
12023,1997,7,85322410,11,23,SP,4,817700,41000,24,707,72,1
13402,1997,4,85322410,11,23,SP,4,817600,183000,4,3602,27,18
15149,1997,8,85322410,11,399,AM,4,227600,110000,1,850,7,1
17855,1997,12,85322410,11,399,SP,4,817700,148818,46,10079,296,28
18689,1997,5,85322410,11,23,SP,4,817700,207000,40,3653,124,3
21424,1997,4,85322410,11,160,BA,1,517600,58464,48,1290,31,0
23083,1997,9,85322410,11,72,RS,4,1017600,7527004,305,75263,1136,147
23540,1997,10,85322410,11,741,SP,4,817700,208100,343,1703,2367,8
23688,1997,6,85322410,11,249,RS,4,1017600,6614,9,3094,127,0
26986,1997,5,85322410,11,399,SP,4,817600,10711580,315,189217,9735,541
28326,1997,10,85322410,11,493,SP,4,817700,232440,6,4390,433,11
29649,1997,3,85322410,11,161,SP,1,817800,52882,722,19602,151,24
31121,1997,7,85322410,11,386,SP,4,817600,65290,21,1646,106,7
32814,1997,12,85322410,11,72,RS,4,1017600,4894352,263,61401,1083,121
32886,1997,5,85322410,11,275,MG,4,617600,44000,14,1749,90,2
34350,1997,9,85322410,11,375,SP,4,817700,6432000,332,61611,2328,308
34965,1997,10,85322410,11,23,RS,4,1017600,24000,1,263,4,1
38848,1997,10,85322410,11,23,MG,4,617600,4000,20,244,130,1
40671,1997,10,85322410,11,687,SP,4,817700,2900,3,149,18,0
41253,1997,11,85322410,11,190,SP,1,817800,179544,3807,1995,1938,10
42281,1997,4,85322410,11,161,AM,1,227600,1641200,108,12176,90,16
43451,1997,11,85322410,11,245,SP,4,817600,10000,6,131,101,1
44806,1997,12,85322410,11,776,SP,4,817700,32000,1,4983,3,15
47897,1997,11,85322410,11,23,MG,4,817600,2,2,812,26,0
48872,1997,3,85322410,11,23,PR,4,717700,30000,660,4358,3061,22
50566,1997,8,85322410,11,351,BA,4,517600,151520,346,2105,883,0
50605,1997,2,85322410,11,23,SP,4,817700,24000,1,542,6,0
52790,1997,6,85322410,11,386,SP,4,817700,1368,7,50,178,2
55690,1997,5,85322410,11,249,MG,4,617600,8000,1,332,5,3
57561,1997,1,85322410,11,493,SP,4,817600,268000,13,5716,258,26
64511,1997,7,85322410,11,249,SP,4,817600,3613055,879,465214,3226,6
69308,1997,7,85322410,11,161,SP,1,817800,112700,382,14961,114,18
69919,1997,8,85322410,11,161,SP,4,817600,938010,392,30864,2689,95
71738,1997,10,85322410,11,249,AM,4,227600,954800,182,20874,482,20
73611,1997,6,85322410,11,161,SP,4,817700,1381000,816,16937,4967,56
74965,1997,10,85322410,11,573,SP,4,817700,16000,11,198,49,1
78815,1997,7,85322410,11,72,SP,4,817600,40000,2,349,30,2
80474,1997,12,85322410,11,399,SP,4,227600,120000,9,2941,54,0
94283,1997,10,85322410,11,455,AM,1,227600,1412000,157,25900,141,203
94688,1997,8,85322410,11,87,SP,4,817700,3000,4,146,14,1
100897,1997,8,85322410,11,399,AM,1,227600,1614000,57,20833,60,27
104130,1997,7,85322410,11,249,MG,4,817700,1900,3,3020,103,9
105971,1997,8,85322410,11,493,SP,4,817600,574900,26,12642,605,12
106435,1997,6,85322410,11,249,MG,4,817700,1000,0,600,17,2
106696,1997,2,85322410,11,249,PR,4,817700,80000,13,2500,51,12
106813,1997,6,85322410,11,628,AM,4,227600,608000,30,4864,198,6
111626,1997,2,85322410,11,455,AM,4,227600,640000,64,7303,203,131
111771,1997,7,85322410,11,249,PR,4,910151,56000,2,1408,38,3
114471,1997,5,85322410,11,190,AM,4,227600,100,3,6,57,0
115489,1997,8,85322410,11,23,SP,4,817600,9000,1,460,4,0
116533,1997,6,85322410,11,767,SP,4,817700,4000,0,99,7,0
116816,1997,7,85322410,11,741,RS,4,1017600,150500,44,7114,231,14
117523,1997,12,85322410,11,23,PR,4,817700,23200,16,804,52,4
117604,1997,5,85322410,11,628,SP,4,817600,153000,6,2624,93,2
118009,1997,1,85322410,11,399,AM,1,227600,218000,34,5441,55,9
118431,1997,3,85322410,11,72,RS,4,1017600,7808700,274,103007,1232,199
118566,1997,8,85322410,11,249,SP,4,817600,3164700,828,349637,3403,145
119263,1997,11,85322410,11,399,SP,4,817600,7901792,1361,157175,18474,415
122602,1997,4,85322410,11,249,SP,4,817600,3442532,451,296575,1614,11
122812,1997,6,85322410,11,399,SP,4,817600,9505556,551,237190,17038,654
124050,1997,2,85322410,11,23,PR,4,817700,9100,8,281,40,1
128032,1997,8,85322410,11,776,SP,4,817700,1300000,949,11069,4728,43
132814,1997,3,85322410,11,161,AM,4,227600,29439002,1584,318063,8923,428
134063,1997,11,85322410,11,161,AM,4,227600,6177400,323,51831,2047,71
134697,1997,9,85322410,11,399,AM,4,227600,40000,24,3056,135,9
137292,1997,10,85322410,11,161,SP,1,817800,23400,720,425,1940,6
138371,1997,9,85322410,11,399,SP,4,817600,9042495,255,142458,7040,407
142520,1997,9,85322410,11,161,BA,4,517600,98600,375,1156,975,0
142731,1997,10,85322410,11,399,SP,4,817700,1319500,563,12141,3434,13
146077,1997,3,85322410,11,161,AM,1,227600,1241000,46,9044,45,12
146297,1997,3,85322410,11,275,SP,4,817700,4000,1,58,31,0
149565,1997,7,85322410,11,249,AM,4,227600,13500,3,4770,226,0
150844,1997,2,85322410,11,375,SP,4,817700,144000,7,3136,213,16
151168,1997,11,85322410,11,493,SP,4,817600,10000,2,147,50,0
151874,1997,12,85322410,11,249,MG,4,617600,8000,1,176,5,1
154184,1997,10,85322410,11,161,AM,4,227600,8828000,746,75872,3428,89
154318,1997,6,85322410,11,275,MG,4,617600,1178500,249,29995,870,137
155320,1997,8,85322410,11,249,RS,4,1017600,22000,7,5410,130,0
156069,1997,1,85322410,11,23,PR,4,717700,12000,6,2471,24,12
161039,1997,7,85322410,11,455,SP,4,817600,3000,1,3930,2,0
162488,1997,2,85322410,11,351,SP,4,817700,6584,263,33,1592,0
165846,1997,9,85322410,11,249,MG,4,617600,38000,1,420,7,2
166975,1997,2,85322410,11,367,SP,4,812000,27000,0,432,92,0
168171,1997,9,85322410,11,23,PR,4,817700,10000,5,418,27,2
168403,1997,10,85322410,11,249,PR,4,817700,1000,0,83,0,0
169566,1997,9,85322410,11,275,AM,4,227600,62000,2,885,19,0
169918,1997,4,85322410,11,160,BA,4,517600,43500,165,510,490,0
170907,1997,3,85322410,11,190,SP,4,817700,192000,39,2846,223,11
171764,1997,12,85322410,11,383,SP,4,817700,40000,1,3688,7,11
175015,1997,4,85322410,11,741,AM,1,227600,4570000,356,41517,327,56
175720,1997,11,85322410,11,628,AM,4,227600,2988850,210,21277,809,66
177161,1997,8,85322410,11,23,AM,4,227600,762500,256,14280,1610,0
180598,1997,5,85322410,11,161,SP,1,817800,172887,418,12194,104,15
180778,1997,12,85322410,11,23,AM,4,227600,420000,136,8332,961,0
182721,1997,4,85322410,11,399,SP,4,227600,60523,169,33065,799,385
184371,1997,11,85322410,11,249,RS,4,1017600,7500,4,1125,32,0
189835,1997,2,85322410,11,493,AM,4,227600,300000,15,7500,81,23
192310,1997,5,85322410,11,383,SC,4,717700,12000,1,744,58,0
193196,1997,7,85322410,11,493,SP,4,817600,136000,8,3284,118,15
193374,1997,3,85322410,11,493,SP,4,817600,50000,17,1497,163,1
193388,1997,7,85322410,11,628,SP,4,817700,1577000,79,18213,814,91
193521,1997,8,85322410,11,628,SP,4,817600,2101165,106,28802,832,6
194776,1997,1,85322410,11,741,AM,1,227600,4000,0,74,0,0
197207,1997,8,85322410,11,72,RS,4,1017600,3762280,230,65698,1011,128
197662,1997,1,85322410,11,161,AM,1,227600,32000,1,564,1,1
201568,1997,3,85322410,11,375,SP,4,817700,44000,2,162,214,1
205028,1997,1,85322410,11,161,SP,1,817800,48000,210,6059,65,8
205226,1997,8,85322410,11,23,SP,1,817800,131500,43,2391,31,12
211276,1997,7,85322410,11,190,SP,1,817800,202360,3035,2223,1253,11
217147,1997,6,85322410,11,249,MG,4,617600,1031000,615,12567,2042,54
220465,1997,10,85322410,11,275,AM,4,227600,94000,4,833,628,0
224418,1997,12,85322410,11,161,BA,4,517600,6000,15,220,40,0
224729,1997,9,85322410,11,573,SP,4,817700,5000,0,90,24,0
226845,1997,11,85322410,11,399,AM,1,227600,9000,1,260,3,0
228140,1997,8,85322410,11,249,AM,4,227600,12600,2,4284,42,0
228470,1997,3,85322410,11,741,SP,4,817700,46000,91,1930,452,7
231949,1997,7,85322410,11,249,MG,4,617600,4000,0,244,3,1
233694,1997,7,85322410,11,72,RS,4,1017600,9475150,283,94456,1218,184
234980,1997,9,85322410,11,23,SP,4,817700,1000440,321,23314,976,45
235313,1997,8,85322410,11,493,SP,4,817700,126000,65,1651,380,4
236818,1997,10,85322410,11,249,SP,4,817700,22778564,2706,647616,12703,73
236884,1997,7,85322410,11,776,SP,4,817700,1153000,834,11847,4366,46
238265,1997,10,85322410,11,386,SP,4,817600,2500,8,550,55,3
240245,1997,3,85322410,11,351,SP,4,817600,48000,0,768,1,4
242708,1997,3,85322410,11,455,SP,4,817600,117500,110,2119,828,9
242875,1997,11,85322410,11,375,SP,4,817700,460000,25,5002,283,25
246169,1997,9,85322410,11,741,AM,1,227600,3444000,884,86090,808,576
248297,1997,6,85322410,11,161,SP,1,817800,668280,278,16628,82,20
249119,1997,5,85322410,11,161,AM,1,227600,1532000,77,11495,26,16
251236,1997,11,85322410,11,161,PR,4,910151,330000,26,3840,202,8
251322,1997,3,85322410,11,23,PR,4,817700,80135,23,8300,104,41
252098,1997,11,85322410,11,399,SP,4,817700,589186,362,5752,2217,6
252221,1997,5,85322410,11,23,PR,4,817700,103200,414,9325,1477,47
252954,1997,4,85322410,11,399,SP,4,817700,4683000,339,39439,2206,3
253329,1997,12,85322410,11,87,SP,4,817700,98000,104,1715,344,9
254183,1997,8,85322410,11,741,AM,4,227600,35000,2,255,11,0
256930,1997,2,85322410,11,399,SP,4,227600,2598098,187,48052,1467,401
257236,1997,10,85322410,11,573,MG,4,617600,68000,116,1688,752,9
257287,1997,11,85322410,11,23,MG,4,617600,8000,3,488,8,2
261265,1997,5,85322410,11,741,AM,4,227600,650000,48,5450,246,8
262178,1997,1,85322410,11,249,RS,4,1017600,0,0,90,1,0
263265,1997,4,85322410,11,23,SP,4,817700,401000,234,6930,784,6
267110,1997,6,85322410,11,23,SP,4,817600,9000,0,487,2,2
268012,1997,10,85322410,11,628,AM,4,227600,2680900,138,19050,536,58
273456,1997,7,85322410,11,375,SP,4,817700,2500000,157,25783,1622,129
