CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO
2012,2,85322410,11,161,BA,4,517700,345000,13,2760,163,2
2012,5,85322410,11,249,RN,4,817700,26000,2,182,24,0
2012,1,85322410,11,455,AM,4,227700,26514011,1035,220610,10137,119
2012,9,85322410,11,249,AM,4,227700,24844000,1317,73462,11712,79
2012,11,85322410,11,493,SP,4,817700,1493735,149,19877,1820,12
2012,4,85322410,11,190,SP,4,817700,186834268,3729,1107281,49069,869
2012,7,85322410,11,161,SP,1,817800,54177819,3582,213766,5375,167
2012,5,85322410,11,190,AM,4,227700,291051860,11770,1032880,108374,959
2012,2,85322410,11,455,RS,4,1017600,598000,107,6634,994,20
2012,10,85322410,11,455,SP,4,817700,8771923,316,43206,4483,43
2012,9,85322410,11,161,RS,4,1017600,253000,30,4754,351,5
2012,6,85322410,11,249,MG,4,615100,268000,39,16388,352,24
2012,2,85322410,11,687,SP,4,817700,552000,8,2740,188,6
2012,4,85322410,11,741,AM,1,227600,4521000,147,9109,131,20
2012,1,85322410,11,190,MG,4,615100,508000,92,49787,1100,72
2012,4,85322410,11,161,BA,1,417800,550000,6,1422,4,0
2012,2,85322410,11,741,AM,4,227700,49351200,5184,68099,50337,61
2012,3,85322410,11,249,SP,4,817700,3074769,105,27695,2722,19
2012,2,85322410,11,190,SP,1,817800,6228000,1786,15096,1325,12
2012,1,85322410,11,455,DF,4,817700,5050,0,21,1,0
2012,9,85322410,11,190,AM,1,227600,113411188,2587,449238,1983,83
2012,3,85322410,11,399,AM,1,227600,27908600,996,130488,1301,210
2012,5,85322410,11,741,AM,4,227700,60876800,3908,120284,36838,64
2012,6,85322410,11,160,MG,4,615100,28492000,995,86327,9992,123
2012,5,85322410,11,190,PE,4,417700,188000,15,8084,126,26
2012,8,85322410,11,275,RS,4,1017600,20000,1,49,12,0
2012,3,85322410,11,741,SP,1,817800,182000,3,11150,3,11
2012,8,85322410,11,687,SC,4,817700,4000,0,90,1,0
2012,7,85322410,11,160,MG,4,817700,16583000,624,72139,7561,52
2012,9,85322410,11,267,AM,4,227700,736000,60,1687,339,1
2012,9,85322410,11,249,SP,4,817600,4352811,165,24343,2357,14
